pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
1.00,1.00,hawaiian_m,1.00,3/1/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
2.00,2.00,classic_dlx_m,1.00,2/1/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
3.00,3.00,five_cheese_l,1.00,3/1/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
4.00,4.00,classic_dlx_m,1.00,3/1/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
5.00,5.00,margherita_s,2.00,3/1/2015,12:00:00,10.00,20.00,S,Classic,"Tomato Sauce, Mozzarella Cheese, Fresh Basil",The Margherita Pizza
6.00,6.00,bbq_chicken_m,1.00,3/1/2015,12:15:00,14.50,14.50,M,Specialty,"BBQ Sauce, Grilled Chicken, Red Onions, Cilantro",BBQ Chicken Pizza
7.00,7.00,pepperoni_l,1.00,3/1/2015,12:30:00,15.00,15.00,L,Classic,"Pepperoni, Mozzarella Cheese, Tomato Sauce",Pepperoni Pizza
8.00,8.00,veggie_m,1.00,3/1/2015,12:45:00,12.00,12.00,M,Veggie,"Bell Peppers, Onions, Mushrooms, Olives, Mozzarella Cheese",Veggie Pizza
9.00,9.00,meat_lovers_l,1.00,3/1/2015,13:00:00,19.00,19.00,L,Classic,"Pepperoni, Sausage, Bacon, Ham, Mozzarella Cheese",Meat Lovers Pizza
10.00,10.00,seafood_m,1.00,3/1/2015,13:15:00,22.00,22.00,M,Specialty,"Shrimp, Crab, Mozzarella Cheese, Garlic",Seafood Pizza
